iter	RMSE
0	0.479858133
1	0.4790262054
2	0.4783647429
3	0.477764743
4	0.4769853938
5	0.4762320886
6	0.4755456497
7	0.475152171
8	0.474554548
9	0.4740010625
10	0.4734658319
11	0.4729014556
12	0.4724571853
13	0.4719489078
14	0.4717354773
15	0.4715497326
16	0.4711695518
17	0.4707207003
18	0.4703255565
19	0.4700029082
20	0.4696032201
21	0.4692044365
22	0.4690832547
23	0.4688639175
24	0.4685535653
25	0.468344459
26	0.4679738672
27	0.4677600842
28	0.4674261249
29	0.4673562539
30	0.4670294712
31	0.4668868853
32	0.4666338298
33	0.4662549113
34	0.4660488343
35	0.4657647116
36	0.4655918613
37	0.4653170916
38	0.4651716891
39	0.4650878619
40	0.4650360412
41	0.4649834779
42	0.4649252828
43	0.4647541057
44	0.4644649393
45	0.4643789085
46	0.4642193323
47	0.464022155
48	0.463878283
49	0.4636825513
50	0.4636414984
51	0.4636263504
52	0.4635035819
53	0.4634355684
54	0.4631814293
55	0.4629994177
56	0.4628959968
57	0.4628027179
58	0.4625868792
59	0.4622729448
60	0.4619338669
61	0.4616301077
62	0.4615077055
63	0.461310959
64	0.4611617269
65	0.4610250038
66	0.4608051143
67	0.4605635382
68	0.4604628369
69	0.4603936449
70	0.4603411093
71	0.4601467848
72	0.460060481
73	0.459915241
74	0.4597052832
75	0.4593207525
76	0.4588787522
77	0.4587457895
78	0.458646779
79	0.4586200858
80	0.458480027
81	0.4583246653
82	0.4583246341
83	0.4582498031
84	0.4581036885
85	0.457885593
86	0.4576246448
87	0.4575101252
88	0.4573548423
89	0.4571451921
90	0.4570770816
91	0.4570755376
92	0.4569155972
93	0.4566287267
94	0.4564818535
95	0.4564149879
96	0.4562574059
97	0.4562546016
98	0.4560327243
99	0.4558548036
100	0.4556991813
101	0.4556219292
102	0.4554477218
103	0.4553025718
104	0.4551478674
105	0.4548461298
106	0.4547599971
107	0.4545570001
108	0.4543506413
109	0.4541098424
110	0.4540114411
111	0.4539235259
112	0.4536743123
113	0.4534852094
114	0.4534780144
115	0.4534489979
116	0.4534489978
117	0.4532446829
118	0.4531833358
119	0.4530249534
120	0.4529005452
121	0.4528383201
122	0.4526702008
123	0.4525287182
124	0.4525239633
125	0.45243905
126	0.452379966
127	0.4522398946
128	0.4519925294
129	0.4519490041
130	0.4518050436
131	0.4517331168
132	0.4515659762
133	0.4515006757
134	0.4514457252
135	0.4512892286
136	0.4512422997
137	0.4510872662
138	0.4510522878
139	0.4507095245
140	0.4505697829
141	0.4504318951
142	0.4502969705
143	0.45016808
144	0.449915021
145	0.4498643541
146	0.4497353486
147	0.4496792802
148	0.4495075325
149	0.4493761016
150	0.4493313049
151	0.4492862303
152	0.449168334
153	0.448856164
154	0.4487349895
155	0.4486391305
156	0.4484512474
157	0.4484509331
158	0.4484445511
159	0.4482140686
160	0.4480526965
161	0.4479622414
162	0.4477182075
163	0.4475925626
164	0.4473706165
165	0.4473324329
166	0.4472145378
167	0.446992456
168	0.4469474856
169	0.4467917416
170	0.4466051252
171	0.446292249
172	0.4461450008
173	0.4459844697
174	0.4458101656
175	0.4457618274
176	0.445733125
177	0.4453962853
178	0.4453012818
179	0.445212133
180	0.4451646827
181	0.4450043905
182	0.4448808027
183	0.4447064937
184	0.4444098377
185	0.444298842
186	0.4441901116
187	0.444154834
188	0.4439619257
189	0.4438850562
190	0.4436612882
191	0.4434136663
192	0.4431046875
193	0.4430775766
194	0.4429614198
195	0.4427804309
196	0.4426352633
197	0.442424036
198	0.4422788463
199	0.4422367914
200	0.442125617
201	0.4420381271
202	0.4419373533
203	0.44176872
204	0.4415013641
205	0.4414395244
206	0.4413677537
207	0.4412246021
208	0.4410423884
209	0.441004367
210	0.440918641
211	0.4408127424
212	0.4407791548
213	0.4405006927
214	0.4403213644
215	0.4401611878
216	0.4399316219
217	0.4397085299
218	0.4395301014
219	0.439456854
220	0.4392416392
221	0.4391248288
222	0.438942311
223	0.438727933
224	0.4385645824
225	0.4385300056
226	0.4384435997
227	0.4384090824
228	0.4382503102
229	0.4381062935
230	0.4380811858
231	0.4379675356
232	0.4379082889
233	0.4377874092
234	0.4377193392
235	0.4375333384
236	0.4374047294
237	0.4372541221
238	0.4370478392
239	0.4369048305
240	0.4368994983
241	0.436780504
242	0.4367257563
243	0.4366255725
244	0.436429547
245	0.4362164847
246	0.4361145477
247	0.4359645635
248	0.4358150307
249	0.4357996573
250	0.435691557
251	0.4355899975
252	0.4354991695
253	0.4354066543
254	0.4352805108
255	0.4350863684
256	0.4348904797
257	0.434841318
258	0.4348304748
259	0.434721407
260	0.4346487319
261	0.4345433803
262	0.4343950597
263	0.4342403283
264	0.4340739433
265	0.4340519366
266	0.4338254865
267	0.4337098703
268	0.4336612545
269	0.4335284284
270	0.4334723407
