iter	Passed	Remaining
0	164	164147
1	186	92942
2	211	70347
3	237	59219
4	262	52146
5	287	47575
6	307	43652
7	318	39438
8	338	37251
9	358	35492
10	378	34067
11	401	33054
12	421	31975
13	442	31163
14	450	29569
15	469	28881
16	489	28328
17	510	27833
18	530	27392
19	551	27036
20	575	26808
21	596	26517
22	613	26076
23	640	26066
24	666	26002
25	691	25889
26	715	25775
27	739	25679
28	766	25670
29	778	25157
30	798	24960
31	815	24659
32	839	24595
33	860	24459
34	881	24310
35	905	24256
36	927	24127
37	947	23990
38	969	23895
39	990	23765
40	1011	23647
41	1021	23295
42	1041	23174
43	1062	23087
44	1083	22985
45	1097	22756
46	1122	22762
47	1145	22713
48	1168	22674
49	1189	22602
50	1207	22462
51	1217	22198
52	1238	22130
53	1261	22096
54	1283	22047
55	1304	21981
56	1325	21931
57	1347	21885
58	1368	21824
59	1388	21759
60	1409	21699
61	1430	21636
62	1450	21578
63	1471	21523
64	1493	21479
65	1513	21417
66	1535	21379
67	1556	21326
68	1577	21285
69	1598	21233
70	1619	21186
71	1640	21137
72	1662	21105
73	1684	21077
74	1705	21032
75	1726	20989
76	1747	20951
77	1768	20906
78	1792	20898
79	1803	20740
80	1826	20723
81	1849	20709
82	1857	20522
83	1876	20467
84	1905	20512
85	1927	20484
86	1948	20451
87	1969	20412
88	1990	20377
89	2011	20343
90	2032	20306
91	2040	20137
92	2063	20129
93	2086	20105
94	2110	20104
95	2131	20074
96	2152	20038
97	2163	19908
98	2184	19880
99	2205	19852
100	2229	19841
101	2250	19813
102	2271	19782
103	2293	19760
104	2315	19732
105	2339	19732
106	2361	19705
107	2384	19690
108	2405	19661
109	2425	19627
110	2440	19542
111	2458	19489
112	2479	19464
113	2500	19437
114	2515	19359
115	2535	19322
116	2539	19166
117	2560	19138
118	2582	19116
119	2602	19085
120	2624	19066
121	2644	19035
122	2666	19013
123	2687	18987
124	2704	18930
125	2725	18903
126	2746	18879
127	2767	18853
128	2789	18835
129	2807	18789
130	2828	18764
131	2849	18736
132	2870	18712
133	2891	18688
134	2902	18597
135	2922	18567
136	2937	18506
137	2963	18508
138	2973	18420
139	2994	18394
140	3015	18371
141	3036	18349
142	3056	18320
143	3079	18303
144	3101	18286
145	3121	18261
146	3143	18237
147	3163	18213
148	3184	18190
149	3206	18169
150	3228	18154
151	3249	18130
152	3269	18102
153	3292	18086
154	3313	18064
155	3337	18059
156	3359	18038
157	3366	17941
158	3383	17895
159	3404	17874
160	3425	17852
161	3447	17832
162	3468	17810
163	3489	17788
164	3511	17772
165	3532	17745
166	3552	17718
167	3572	17693
168	3594	17674
169	3616	17656
170	3636	17631
171	3659	17615
172	3680	17591
173	3701	17569
174	3722	17550
175	3743	17528
176	3764	17504
177	3786	17487
178	3807	17463
179	3828	17441
180	3849	17418
181	3870	17396
182	3891	17375
183	3912	17353
184	3934	17334
185	3955	17312
186	3976	17289
187	3997	17266
188	4018	17245
189	4041	17228
190	4062	17205
191	4088	17207
192	4111	17192
193	4133	17171
194	4155	17154
195	4206	17256
196	4230	17242
197	4251	17222
198	4274	17203
199	4295	17182
200	4316	17159
201	4338	17140
202	4360	17121
203	4382	17100
204	4408	17094
205	4439	17112
206	4472	17135
207	4509	17171
208	4535	17166
209	4562	17163
210	4587	17155
211	4611	17140
212	4632	17117
213	4655	17098
214	4677	17078
215	4699	17056
216	4722	17040
217	4744	17018
218	4765	16995
219	4787	16973
220	4808	16949
221	4829	16925
222	4850	16902
223	4874	16885
224	4899	16875
225	4924	16866
226	4950	16857
227	4974	16842
228	4996	16821
229	5018	16799
230	5039	16775
231	5060	16750
232	5081	16728
233	5102	16703
234	5124	16682
235	5146	16659
236	5167	16635
237	5188	16611
238	5210	16591
239	5231	16566
240	5252	16541
241	5272	16515
242	5295	16497
243	5317	16476
244	5343	16467
245	5383	16500
246	5404	16476
247	5427	16457
248	5450	16439
249	5472	16417
250	5496	16401
251	5518	16381
252	5540	16357
253	5561	16332
254	5582	16308
255	5603	16284
256	5624	16261
257	5647	16242
258	5668	16218
259	5690	16195
260	5711	16172
261	5733	16148
262	5754	16126
263	5776	16103
264	5798	16081
265	5819	16058
266	5841	16036
267	5862	16013
268	5886	15996
269	5907	15972
270	5933	15960
