iter	RMSE
0	14.45865258
1	13.73611627
2	13.06604412
3	12.41379754
4	11.80576716
5	11.2610085
6	10.75581243
7	10.28715518
8	9.855827369
9	9.428770991
10	9.059307656
11	8.726386641
12	8.409264864
13	8.090521799
14	7.797146804
15	7.552266602
16	7.302994446
17	7.06770456
18	6.858991099
19	6.666577469
20	6.483103091
21	6.318076059
22	6.168113649
23	6.024124016
24	5.889813016
25	5.770458484
26	5.657958466
27	5.550797387
28	5.454699963
29	5.370004628
30	5.286306499
31	5.213878166
32	5.156863439
33	5.097155849
34	5.043630086
35	4.99325833
36	4.945834911
37	4.905697593
38	4.862343209
39	4.822003447
40	4.78620064
41	4.756170361
42	4.72846876
43	4.700922773
44	4.686261175
45	4.661903475
46	4.640206927
47	4.622875408
48	4.606770974
49	4.59249905
50	4.579545835
51	4.566159855
52	4.55463639
53	4.543280771
54	4.533749726
55	4.52515296
56	4.516460924
57	4.510326782
58	4.504030247
59	4.498280633
60	4.491154776
61	4.485448332
62	4.481424241
63	4.477670665
64	4.474158554
65	4.47026404
66	4.467447824
67	4.46391254
68	4.460562948
69	4.457829065
70	4.454647072
71	4.45228241
72	4.449427829
73	4.448396003
74	4.445782199
75	4.443789968
76	4.441037411
77	4.439377066
78	4.437954416
79	4.43579687
80	4.43407978
81	4.432595027
82	4.430858685
83	4.429356153
84	4.428385383
85	4.427371348
86	4.426515313
87	4.42521048
88	4.425059273
89	4.423964152
90	4.423545588
91	4.422245222
92	4.420905885
93	4.419577921
94	4.418639955
95	4.41747145
96	4.416573435
97	4.415428105
98	4.414445684
99	4.413365384
100	4.412631256
101	4.411771711
102	4.410727631
103	4.410144955
104	4.40954468
105	4.408764357
106	4.407837222
107	4.406903204
108	4.405950862
109	4.405272326
110	4.4044433
111	4.403209832
112	4.402604175
113	4.401641915
114	4.401132273
115	4.400630169
116	4.400349823
117	4.400130361
118	4.399485547
119	4.398576693
120	4.398048081
121	4.397332386
122	4.396751786
123	4.395976339
124	4.395191037
125	4.394591352
126	4.394040258
127	4.393561758
128	4.393277371
129	4.392684179
130	4.392110096
131	4.391537579
132	4.391057881
133	4.390512519
134	4.390044818
135	4.389145159
136	4.3889958
137	4.388522576
138	4.387905126
139	4.387422137
140	4.386577194
141	4.386065231
142	4.385260419
143	4.385059024
144	4.38445609
145	4.383899944
146	4.383123615
147	4.382664202
148	4.38232346
149	4.381743302
150	4.381327998
151	4.380845731
152	4.380042886
153	4.379387334
154	4.378442628
155	4.377951823
156	4.377468232
157	4.377035461
158	4.37622989
159	4.375829931
160	4.374946514
161	4.374407651
162	4.373791449
163	4.373025065
164	4.372153228
165	4.37186104
166	4.371373296
167	4.371007986
168	4.370248537
169	4.369635563
170	4.36894435
171	4.368285611
172	4.367834537
173	4.367384213
174	4.366494703
175	4.365826525
176	4.36556083
177	4.365088411
178	4.364442302
179	4.364006245
180	4.363579525
181	4.362987453
182	4.362289422
183	4.361393158
184	4.361008843
185	4.360436827
186	4.359776198
187	4.359302085
188	4.358926549
189	4.358610334
190	4.357968704
191	4.357502728
192	4.356944453
193	4.356235951
194	4.355818105
195	4.355229813
196	4.354656897
197	4.354258846
198	4.353737409
199	4.353029078
200	4.352704056
201	4.352090783
202	4.351844594
203	4.351569505
204	4.351061571
205	4.350713758
206	4.350285817
207	4.349985942
208	4.349491746
209	4.34892847
210	4.348316174
211	4.347993662
212	4.347545066
213	4.347208921
214	4.346971244
215	4.346426525
216	4.345862916
217	4.345374285
218	4.344572742
219	4.344305967
220	4.343490609
221	4.34319997
222	4.342478845
223	4.341883232
224	4.341354002
225	4.341006836
226	4.340544717
227	4.339811869
228	4.339265289
229	4.338511476
230	4.338080412
231	4.337608071
232	4.337143627
233	4.33688775
234	4.3364535
235	4.336146536
236	4.335808265
237	4.335138638
238	4.334774758
239	4.334246864
240	4.333933419
241	4.333267696
242	4.332529948
243	4.332124504
244	4.331532947
245	4.331143751
246	4.330776126
247	4.330314995
248	4.32994163
249	4.32959517
250	4.329333151
251	4.329006176
252	4.328710276
253	4.328231767
254	4.327675053
255	4.327371354
256	4.327003036
257	4.326503908
258	4.326228984
259	4.325711115
260	4.325250139
261	4.324833217
262	4.324376389
263	4.323828948
264	4.323255923
265	4.322531055
266	4.321957601
267	4.321368316
268	4.320841803
269	4.320588305
270	4.320145229
271	4.319604072
272	4.319231437
273	4.318841798
274	4.318516776
275	4.3181567
276	4.317771222
277	4.31715688
278	4.316770598
279	4.316375509
280	4.315911073
281	4.315586175
282	4.315126162
283	4.314753279
284	4.314303209
285	4.313905355
286	4.313497355
287	4.313353274
288	4.313009027
289	4.312589482
290	4.312330914
291	4.312018057
292	4.311376305
293	4.310846855
294	4.31028287
295	4.309786646
296	4.309568078
297	4.309151929
298	4.308678031
299	4.308215029
300	4.307905812
301	4.30757859
302	4.307260556
303	4.307036995
304	4.30644357
305	4.306089149
306	4.305460394
307	4.305089707
308	4.304640431
309	4.304064906
310	4.303627994
311	4.303150037
312	4.302828338
313	4.302276052
314	4.301892713
315	4.301497544
316	4.300890015
317	4.300554483
318	4.300112189
319	4.299747563
320	4.299273264
321	4.298939429
322	4.298616626
323	4.298308155
324	4.297982004
325	4.297522641
326	4.297197209
327	4.296758493
328	4.29645385
329	4.296256226
330	4.295915372
331	4.295678221
332	4.295301615
333	4.294865891
334	4.294522663
335	4.294264155
336	4.293943187
337	4.293508784
338	4.293331534
339	4.292940041
340	4.292448213
341	4.292193588
342	4.291804268
343	4.291449458
344	4.291095937
345	4.290754587
346	4.29044537
347	4.290124786
348	4.289899339
349	4.289576056
350	4.289197634
351	4.288919327
352	4.288665427
353	4.288155108
354	4.287616419
355	4.287449181
356	4.286969601
357	4.286461787
358	4.286145487
359	4.285678169
360	4.285465989
361	4.28511352
362	4.284781988
363	4.284461215
364	4.284306559
365	4.283941516
366	4.283546271
367	4.283082556
368	4.282772941
369	4.282164827
370	4.281902672
371	4.281539534
372	4.28124687
373	4.2808819
374	4.280328034
375	4.279939522
376	4.279688043
377	4.279505882
378	4.27901621
379	4.278608442
380	4.278297107
381	4.278063731
382	4.277649855
383	4.277114408
384	4.276663506
385	4.276395008
386	4.276128165
387	4.275829508
388	4.275488737
389	4.275132875
390	4.274807545
391	4.274399665
392	4.274118646
393	4.273673516
394	4.273266317
395	4.272935306
396	4.272686719
397	4.272255093
398	4.271973731
399	4.271626187
400	4.271480431
401	4.271202858
402	4.270819013
403	4.270427651
404	4.27022579
405	4.269890031
406	4.269641664
407	4.269338307
408	4.269036365
409	4.268697609
410	4.268393767
411	4.268070919
412	4.267882452
413	4.267625034
414	4.26733189
415	4.266926836
416	4.266512715
417	4.266155951
418	4.265920187
419	4.265657497
420	4.265326339
421	4.265021303
422	4.264691102
423	4.26442943
424	4.264196789
425	4.263799948
426	4.263278663
427	4.262900588
428	4.262679885
429	4.26235956
430	4.26202253
431	4.26171787
432	4.261454687
433	4.261142332
434	4.260916918
435	4.260559171
436	4.260131711
437	4.259861611
438	4.259640017
439	4.259138814
440	4.258603269
441	4.258332528
442	4.257941959
443	4.257497399
444	4.257233588
445	4.257012986
446	4.256713097
447	4.256360129
448	4.256057044
449	4.255598258
450	4.255318492
451	4.255098587
452	4.254851349
453	4.254640249
454	4.254236618
455	4.253924084
456	4.25363422
457	4.253267565
458	4.253071959
459	4.252899985
460	4.2525391
461	4.252219277
462	4.251826165
463	4.251586193
464	4.25136962
465	4.251067452
466	4.250881883
467	4.250552751
468	4.250267294
469	4.249661324
470	4.249389092
471	4.249035774
472	4.248765099
473	4.248461859
474	4.248273431
475	4.247923759
476	4.247678825
477	4.247264031
478	4.246961327
479	4.246634903
480	4.246262889
481	4.246094635
482	4.245645582
483	4.245311971
484	4.245041195
485	4.244793928
486	4.244405625
487	4.244126509
488	4.243712062
489	4.243474391
490	4.243143756
491	4.242903328
492	4.24255996
493	4.24219221
494	4.241959748
495	4.241705459
496	4.241244559
497	4.241069936
498	4.240856044
499	4.240667738
500	4.240475666
501	4.239951212
502	4.239714919
503	4.239502129
504	4.239275777
505	4.238856328
506	4.238554265
507	4.2383387
508	4.238043387
509	4.237849199
510	4.237573297
511	4.237200163
512	4.236886756
513	4.236589298
514	4.236321652
515	4.236160603
516	4.235634601
517	4.235409103
518	4.234846316
519	4.234424978
520	4.234201896
521	4.233926568
522	4.233658602
523	4.233478176
524	4.233260885
525	4.232939099
526	4.232714361
527	4.232499812
528	4.232260146
529	4.231994751
530	4.231786289
531	4.231570748
532	4.231370851
533	4.231086072
534	4.230855586
535	4.230664899
536	4.230475662
537	4.230189053
538	4.229861677
539	4.22960284
540	4.229052193
541	4.228865633
542	4.22877601
543	4.228563922
544	4.228294322
545	4.22797074
546	4.227829216
547	4.227683319
548	4.227504036
549	4.227184774
550	4.226964111
551	4.226671712
552	4.226423092
553	4.226270508
554	4.226106574
555	4.225790838
556	4.225601351
557	4.22541427
558	4.225110706
559	4.224849568
560	4.224575794
561	4.224315021
562	4.224101995
563	4.223716499
564	4.223507545
565	4.223269325
566	4.222993584
567	4.222834769
568	4.222673461
569	4.222470807
570	4.22210539
571	4.221876455
572	4.221711419
573	4.22155268
574	4.221279403
575	4.220836437
576	4.220577043
577	4.220377202
578	4.220109531
579	4.219925088
580	4.219622098
581	4.219247507
582	4.219049712
583	4.218875638
584	4.218768012
585	4.218550653
586	4.218413025
587	4.218268947
588	4.218046017
589	4.217808472
590	4.217571669
591	4.21715358
592	4.217003767
593	4.216735843
594	4.216574171
595	4.216370044
596	4.216227888
597	4.216042997
598	4.215742279
599	4.215593754
600	4.215415286
