iter	Passed	Remaining
0	1	1885
1	3	1755
2	5	1781
3	6	1656
4	8	1616
5	9	1624
6	11	1633
7	13	1641
8	14	1640
9	16	1609
10	17	1614
11	19	1633
12	21	1611
13	22	1585
14	24	1591
15	25	1591
16	27	1579
17	28	1568
18	29	1544
19	31	1552
20	33	1558
21	35	1559
22	36	1570
23	38	1556
24	39	1558
25	41	1551
26	42	1535
27	44	1530
28	45	1519
29	47	1530
30	48	1527
31	50	1531
32	52	1532
33	54	1535
34	55	1537
35	56	1521
36	58	1519
37	60	1520
38	62	1537
39	64	1538
40	65	1540
41	67	1546
42	69	1550
43	71	1545
44	72	1547
45	74	1540
46	75	1536
47	77	1540
48	78	1533
49	80	1528
50	82	1528
51	84	1531
52	85	1526
53	86	1523
54	88	1524
55	90	1521
56	91	1517
57	93	1518
58	94	1511
59	96	1507
60	97	1507
61	99	1506
62	101	1507
63	103	1506
64	104	1503
65	105	1495
66	107	1497
67	109	1496
68	110	1493
69	112	1492
70	113	1483
71	114	1481
72	116	1481
73	118	1478
74	119	1474
75	121	1473
76	122	1468
77	123	1462
78	125	1461
79	126	1455
80	127	1450
81	129	1453
82	131	1457
83	133	1456
84	135	1456
85	137	1463
86	139	1466
87	141	1465
88	143	1464
89	144	1460
90	145	1454
91	146	1447
92	148	1445
93	149	1440
94	151	1439
95	152	1439
96	153	1432
97	155	1428
98	156	1424
99	157	1420
100	159	1415
101	160	1414
102	162	1414
103	164	1416
104	166	1417
105	167	1416
106	169	1416
107	171	1417
108	172	1412
109	174	1408
110	175	1408
111	177	1406
112	179	1405
113	180	1400
114	182	1405
115	184	1405
116	186	1405
117	188	1405
118	189	1405
119	191	1405
120	192	1400
121	193	1394
122	196	1398
123	197	1396
124	198	1392
125	200	1390
126	201	1386
127	203	1389
128	205	1389
129	207	1389
130	209	1387
131	211	1388
132	213	1388
133	214	1386
134	216	1386
135	217	1383
136	219	1382
137	221	1382
138	222	1379
139	224	1379
140	226	1377
141	228	1378
142	229	1376
143	231	1373
144	232	1373
145	234	1371
146	235	1369
147	237	1364
148	238	1363
149	240	1363
150	243	1366
151	244	1364
152	246	1364
153	248	1363
154	249	1361
155	251	1360
156	253	1358
157	254	1357
158	256	1357
159	258	1357
160	260	1357
161	262	1357
162	264	1356
163	265	1354
164	267	1354
165	269	1353
166	271	1353
167	273	1352
168	275	1353
169	276	1352
170	278	1351
171	280	1350
172	282	1350
173	284	1351
174	286	1351
175	288	1350
176	290	1349
177	292	1349
178	294	1349
179	295	1345
180	297	1345
181	299	1344
182	300	1343
183	302	1342
184	304	1342
185	306	1343
186	308	1343
187	310	1342
188	312	1341
189	314	1340
190	316	1339
191	318	1338
192	319	1337
193	321	1336
194	323	1336
195	325	1335
196	327	1335
197	329	1334
198	331	1333
199	332	1331
200	334	1329
201	336	1328
202	337	1326
203	339	1325
204	341	1324
205	343	1322
206	345	1322
207	346	1320
208	348	1318
209	350	1317
210	351	1315
211	353	1313
212	355	1313
213	357	1311
214	358	1310
215	360	1308
216	362	1306
217	363	1305
218	365	1304
219	367	1303
220	369	1301
221	371	1301
222	373	1299
223	374	1298
224	376	1296
225	378	1294
226	379	1292
227	381	1291
228	382	1289
229	384	1287
230	386	1286
231	388	1284
232	389	1283
233	391	1281
234	393	1279
235	394	1278
236	396	1276
237	398	1274
238	399	1273
239	401	1271
240	403	1270
241	405	1269
242	407	1268
243	408	1267
244	410	1265
245	412	1263
246	413	1261
247	415	1260
248	417	1258
249	419	1257
250	421	1256
251	422	1255
252	424	1253
253	426	1252
254	428	1251
255	430	1249
256	431	1248
257	433	1247
258	435	1246
259	437	1245
260	439	1244
261	441	1242
262	443	1241
263	444	1240
264	446	1239
265	449	1239
266	451	1238
267	453	1237
268	454	1236
269	456	1234
270	458	1233
271	460	1232
272	462	1230
273	463	1229
274	465	1227
275	467	1227
276	469	1225
277	471	1224
278	473	1223
279	475	1221
280	476	1220
281	478	1219
282	480	1217
283	482	1216
284	484	1215
285	486	1214
286	488	1212
287	490	1211
288	492	1210
289	494	1209
290	495	1208
291	497	1206
292	499	1205
293	501	1204
294	503	1203
295	505	1201
296	507	1200
297	508	1198
298	510	1197
299	512	1195
300	514	1194
301	516	1193
302	518	1191
303	519	1190
304	521	1189
305	523	1187
306	525	1186
307	527	1184
308	529	1183
309	531	1182
310	533	1180
311	535	1179
312	537	1178
313	538	1177
314	540	1175
315	542	1174
316	544	1172
317	546	1171
318	548	1170
319	550	1168
320	551	1167
321	553	1165
322	555	1164
323	557	1162
324	559	1161
325	560	1159
326	563	1158
327	564	1157
328	566	1155
329	568	1153
330	570	1152
331	571	1150
332	573	1149
333	575	1147
334	577	1146
335	579	1145
336	581	1143
337	583	1141
338	588	1146
339	592	1149
340	595	1151
341	598	1152
342	601	1152
343	604	1153
344	607	1152
345	609	1152
346	611	1151
347	613	1150
348	616	1149
349	618	1148
350	620	1146
351	622	1145
352	624	1143
353	625	1142
354	627	1140
355	629	1138
356	631	1136
357	632	1134
358	634	1133
359	636	1131
360	638	1130
361	640	1128
362	641	1126
363	643	1124
364	645	1122
365	646	1120
366	648	1118
367	650	1116
368	652	1115
369	653	1113
370	655	1111
371	657	1109
372	658	1107
373	660	1105
374	662	1104
375	664	1102
376	665	1100
377	667	1098
378	669	1097
379	671	1095
380	672	1093
381	674	1091
382	676	1089
383	677	1087
384	679	1085
385	681	1083
386	683	1082
387	684	1080
388	686	1078
389	688	1076
390	689	1074
391	691	1072
392	693	1070
393	694	1068
394	696	1066
395	698	1065
396	700	1063
397	701	1061
398	703	1059
399	705	1057
400	706	1055
401	708	1054
402	710	1052
403	711	1050
404	713	1048
405	715	1046
406	717	1044
407	718	1042
408	720	1041
409	722	1039
410	723	1037
411	725	1035
412	727	1034
413	729	1032
414	731	1030
415	732	1028
416	734	1027
417	736	1025
418	738	1023
419	739	1021
420	741	1019
421	743	1017
422	744	1015
423	746	1014
424	748	1012
425	749	1010
426	751	1008
427	753	1006
428	755	1005
429	756	1003
430	758	1001
431	760	999
432	761	997
433	763	996
434	765	994
435	767	992
436	768	990
437	770	988
438	772	987
439	774	985
440	775	983
441	777	981
442	779	980
443	781	978
444	782	976
445	784	974
446	786	972
447	788	970
448	789	969
449	791	967
450	793	965
451	795	964
452	796	962
453	798	960
454	800	958
455	802	956
456	803	954
457	805	953
458	807	951
459	808	949
460	810	947
461	812	946
462	814	944
463	815	942
464	817	940
465	819	939
466	821	937
467	823	935
468	825	934
469	827	932
470	829	931
471	830	929
472	832	927
473	834	926
474	836	924
475	838	922
476	839	920
477	841	919
478	844	918
479	845	916
480	847	914
481	849	912
482	851	911
483	853	909
484	854	907
485	856	905
486	858	904
487	860	902
488	862	901
489	864	899
490	865	897
491	867	895
492	869	894
493	871	892
494	873	890
495	875	889
496	877	888
497	879	886
498	881	884
499	882	882
500	884	881
501	886	879
502	888	877
503	890	875
504	891	874
505	893	872
506	895	870
507	897	869
508	899	867
509	901	865
510	902	864
511	904	862
512	907	861
513	908	859
514	910	857
515	912	855
516	914	854
517	916	852
518	918	850
519	919	849
520	921	847
521	924	846
522	925	844
523	927	842
524	929	841
525	931	839
526	933	837
527	934	835
528	936	834
529	938	832
530	940	830
531	942	829
532	944	827
533	946	825
534	947	823
535	949	822
536	951	820
537	953	818
538	955	817
539	957	815
540	958	813
541	960	811
542	962	810
543	964	808
544	966	806
545	967	804
546	969	803
547	971	801
548	973	799
549	975	798
550	977	796
551	978	794
552	980	792
553	982	790
554	983	788
555	985	787
556	987	785
557	989	783
558	990	781
559	992	779
560	994	777
561	995	776
562	997	774
563	999	772
564	1001	770
565	1002	769
566	1004	767
567	1006	765
568	1008	763
569	1009	761
570	1011	760
571	1013	758
572	1014	756
573	1016	754
574	1018	752
575	1020	751
576	1022	749
577	1023	747
578	1025	745
579	1027	743
580	1028	741
581	1030	740
582	1032	738
583	1033	736
584	1035	734
585	1037	732
586	1038	730
587	1040	729
588	1042	727
589	1044	725
590	1045	723
591	1047	721
592	1049	720
593	1050	718
594	1052	716
595	1054	714
596	1055	712
597	1057	711
598	1059	709
599	1061	707
600	1063	705
601	1064	703
602	1066	702
603	1068	700
604	1070	698
605	1072	697
606	1073	695
607	1075	693
608	1077	691
609	1079	690
610	1081	688
611	1083	686
612	1085	685
613	1086	683
614	1088	681
615	1090	679
616	1092	678
617	1094	676
618	1095	674
619	1097	672
620	1099	671
621	1101	669
622	1103	667
623	1105	666
624	1107	664
625	1109	662
626	1111	660
627	1112	659
628	1114	657
629	1116	655
630	1118	654
631	1120	652
632	1122	650
633	1124	648
634	1125	647
635	1127	645
636	1129	643
637	1131	642
638	1133	640
639	1135	638
640	1137	637
641	1139	635
642	1141	633
643	1142	631
644	1144	630
645	1146	628
646	1148	626
647	1150	624
648	1152	623
649	1154	621
650	1155	619
651	1157	617
652	1159	616
653	1161	614
654	1163	612
655	1165	611
656	1167	609
657	1168	607
658	1170	605
659	1172	603
660	1174	602
661	1175	600
662	1177	598
663	1179	596
664	1181	595
665	1183	593
666	1185	591
667	1186	589
668	1188	588
669	1190	586
670	1192	584
671	1194	582
672	1196	581
673	1197	579
674	1199	577
675	1201	575
676	1203	574
677	1205	572
678	1206	570
679	1208	568
680	1210	567
681	1212	565
682	1214	563
683	1216	561
684	1217	559
685	1219	558
686	1221	556
687	1222	554
688	1224	552
689	1226	550
690	1227	549
691	1229	547
692	1231	545
693	1232	543
694	1234	541
695	1236	539
696	1238	538
697	1239	536
698	1241	534
699	1243	532
700	1245	531
701	1246	529
702	1248	527
703	1249	525
704	1251	523
705	1253	521
706	1254	520
707	1256	518
708	1258	516
709	1260	514
710	1261	512
711	1263	511
712	1265	509
