iter	RMSE
0	14.46953477
1	13.75454143
2	13.07473336
3	12.42139087
4	11.81229639
5	11.24503192
6	10.71730684
7	10.23670257
8	9.802474942
9	9.403253995
10	9.03460713
11	8.6664965
12	8.351928649
13	8.045025098
14	7.752462256
15	7.490332437
16	7.261723999
17	7.031972812
18	6.82607471
19	6.632104977
20	6.44941573
21	6.289456535
22	6.138753479
23	5.991726255
24	5.861361564
25	5.746786037
26	5.640656807
27	5.54520397
28	5.446784286
29	5.363852261
30	5.286168552
31	5.214847209
32	5.152468423
33	5.08854477
34	5.036448816
35	4.989327823
36	4.945486645
37	4.906582492
38	4.867955183
39	4.828536129
40	4.793660352
41	4.761756096
42	4.73217245
43	4.708025577
44	4.687217969
45	4.666332562
46	4.647485227
47	4.633259423
48	4.618393898
49	4.606786666
50	4.593498947
51	4.585375203
52	4.572421479
53	4.560613377
54	4.550900062
55	4.543105915
56	4.534648495
57	4.527549759
58	4.518947706
59	4.512594905
60	4.507677602
61	4.503950714
62	4.501721584
63	4.496335016
64	4.491451191
65	4.487541947
66	4.484724384
67	4.48211422
68	4.478373273
69	4.476310559
70	4.472791343
71	4.470258964
72	4.468131087
73	4.465608475
74	4.464128758
75	4.462638048
76	4.461014014
77	4.459590819
78	4.457820571
79	4.456285616
80	4.454767834
81	4.453083549
82	4.451971767
83	4.450325557
84	4.448942079
85	4.447830514
86	4.446636613
87	4.445416798
88	4.445231865
89	4.443964783
90	4.442924953
91	4.44176294
92	4.440695976
93	4.439796058
94	4.438932966
95	4.437930626
96	4.437571941
97	4.436649435
98	4.435780499
99	4.435228244
100	4.434864557
101	4.4341018
102	4.433059218
103	4.432260071
104	4.431603581
105	4.43113032
106	4.430309148
107	4.429586781
108	4.429175054
109	4.428527355
110	4.427937215
111	4.427089085
112	4.426391202
113	4.425463386
114	4.424545382
115	4.424318736
116	4.423582646
117	4.42255836
118	4.421625958
119	4.42095161
120	4.420524288
121	4.419875296
122	4.419491456
123	4.419163169
124	4.418693058
125	4.418121184
126	4.417328872
127	4.416746368
128	4.416264871
129	4.415824565
130	4.415592672
131	4.41489408
132	4.414551826
133	4.413655911
134	4.412997441
135	4.412323678
136	4.412026403
137	4.411289327
138	4.410705756
139	4.410212468
140	4.409520512
141	4.40864489
142	4.408109906
143	4.407550363
144	4.40704682
145	4.406230818
146	4.405638374
147	4.405326466
148	4.404906689
149	4.404376654
150	4.403987707
151	4.4035732
152	4.40272927
153	4.401982194
154	4.40156752
155	4.401114763
156	4.400700555
157	4.400237584
158	4.39988513
159	4.39909621
160	4.398422083
161	4.39790328
162	4.397309107
163	4.396852576
164	4.396375242
165	4.395868802
166	4.395440997
167	4.395022646
168	4.394386018
169	4.393724943
170	4.39299344
171	4.392611682
172	4.391983353
173	4.3917271
174	4.391421492
175	4.390644124
176	4.390131513
177	4.389722087
178	4.389111491
179	4.388309426
180	4.387642217
181	4.387358704
182	4.386694607
183	4.386103499
184	4.385752255
185	4.385358122
186	4.384929872
187	4.384321673
188	4.383947996
189	4.38343777
190	4.383074333
191	4.38270576
192	4.382381154
193	4.381788027
194	4.380994621
195	4.380592813
196	4.380076759
197	4.379747217
198	4.379192875
199	4.378863135
200	4.37820357
201	4.377721675
202	4.377468917
203	4.377182383
204	4.376773862
205	4.376057678
206	4.375312145
207	4.374796294
208	4.37406351
209	4.373517575
210	4.372943982
211	4.372603177
212	4.37236314
213	4.37186312
214	4.371558767
215	4.371299124
216	4.370835458
217	4.370440732
218	4.369783875
219	4.369214857
220	4.368947915
221	4.368454748
222	4.368015025
223	4.367495957
224	4.366950211
225	4.366512213
226	4.366099699
227	4.365488102
228	4.365154775
229	4.364637267
230	4.364319348
231	4.364007475
232	4.363272322
233	4.362826381
234	4.362359481
235	4.362021112
236	4.361522131
237	4.361187035
238	4.360707881
239	4.360373636
240	4.360008305
241	4.359739887
242	4.359015695
243	4.358441772
244	4.358049925
245	4.357450678
246	4.357174677
247	4.356661173
248	4.3562358
249	4.355642722
250	4.355339155
251	4.354668363
252	4.354141396
253	4.35377306
254	4.353239727
255	4.352700808
256	4.352332559
257	4.35200659
258	4.351508879
259	4.351091451
260	4.350765028
261	4.350346676
262	4.349907319
263	4.349407832
264	4.349074064
265	4.34873451
266	4.348298415
267	4.348083683
268	4.347631564
269	4.347258557
270	4.346798819
271	4.346463735
272	4.346076537
273	4.345739016
274	4.345225584
275	4.344749387
276	4.344460288
277	4.344077817
278	4.343489862
279	4.342958469
280	4.342559816
281	4.342375305
282	4.341944457
283	4.341496695
284	4.341023121
285	4.340564256
286	4.340378762
287	4.34019738
